rank,amount
2832,100.0
2833,500.0
2834,100.0
2835,2500.0
2836,2500.0
2837,2500.0
2838,250.0
2839,2500.0
2840,2500.0
2841,250.0
2842,100.0
2843,2000.0
2844,100.0
2845,100.0
2846,200.0
2847,1250.0
2848,1250.0
2849,2500.0
2850,60.0
2851,10.0
2852,10.0
2853,25.0
2854,2500.0
2855,2500.0
2856,1000.0
2857,1000.0
2858,1000.0
2859,500.0
2860,2500.0
2861,2500.0
2862,2500.0
2863,2500.0
2864,60.0
2865,100.0
2866,200.0
2867,250.0
2868,1000.0
2869,1000.0
2870,1000.0
2871,2500.0
2872,2500.0
2873,2500.0
2874,2500.0
2875,2500.0
2876,100.0
2877,100.0
2878,500.0
2879,250.0
2880,100.0
2881,1000.0
2882,500.0
2883,5000.0
2884,1000.0
2885,30.0
2886,30.0
2887,30.0
2888,2500.0
2889,2500.0
2890,250.0
2891,2500.0
2892,200.0
2893,250.0
2894,100.0
2895,2500.0
2896,2500.0
2897,500.0
2898,150.0
2899,100.0
2900,150.0
2901,500.0
2902,1500.0
2903,1000.0
2904,1000.0
2905,2500.0
2906,100.0
2907,100.0
2908,100.0
2909,50.0
2910,100.0
2911,100.0
2912,50.0
2913,150.0
2914,500.0
2915,100.0
2916,1300.0
2917,5000.0
2918,1500.0
2919,1000.0
2920,2500.0
2921,2500.0
2922,5000.0
2923,2500.0
2925,500.0
2926,500.0
2927,2500.0
2928,500.0
2929,500.0
2930,500.0
2931,2500.0
2932,1500.0
2933,2500.0
2934,1000.0
2935,1000.0
2936,250.0
2937,250.0
2938,1000.0
2939,2500.0
2940,2500.0
2941,1000.0
2942,1000.0
2943,1000.0
2944,2500.0
2945,250.0
2946,50.0
2947,2500.0
2948,2500.0
2949,2500.0
2950,1000.0
2951,2500.0
2952,500.0
2953,500.0
2954,2500.0
2955,500.0
2956,500.0
2957,1000.0
2958,2500.0
2959,2500.0
2960,250.0
2961,1000.0
2962,1000.0
2963,2500.0
2964,2500.0
2965,2500.0
2966,2500.0
2967,100.0
2968,100.0
2969,2500.0
2970,2500.0
2971,2500.0
2972,2500.0
2973,200.0
2974,100.0
2975,2500.0
2976,2500.0
