cand,amount
"Bachmann, Michelle",185162040.26
"Cain, Herman",497741665.29
"Gingrich, Newt",448094705.13
"Huntsman, Jon",209856615.58
"Johnson, Gary Earl",29342659.19
"McCotter, Thaddeus G",2629130.0
"Obama, Barack",5144207047.69
"Paul, Ron",840949699.167
"Pawlenty, Timothy",298396601.13
"Perry, Rick",1315593823.37
"Roemer, Charles E. 'Buddy' III",20676534.8
"Romney, Mitt",3576435775.77
"Santorum, Rick",100362223.95
